Code,Types,BGD_EU,CHN_EU,VNM_EU,CAM_EU,TUR_EU,IND_EU,BGD_US,CHN_US,VNM_US,CAM_US,TUR_US,IND_US,BGD_UK,CHN_UK,VNM_UK,CAM_UK,TUR_UK,IND_UK
'610832,MMF,6.269308348,43.75729167,0.697615332,8.589265622,5.332448394,2.809024303,3.666604765,55.9123662,14.97011172,16.04945242,0.058722558,0.59299746,13.83960832,42.00029602,0.87094312,19.62596751,5.928856049,6.72985672
'610892,MMF,3.816664543,52.16269588,0.591540324,6.473563511,3.170977195,0.316473436,1.832016064,61.75820062,18.24032231,6.836109848,0.564343715,0.52060453,11.22694309,65.88709995,0.066510326,9.973100268,1.120822166,1.227238688
'610899,MMF,0.839285044,21.85643348,0.37273762,0.757983214,2.273949643,0.606636731,3.60081668,63.42881891,19.44874095,0.556827322,0.618697024,5.766256264,0.994469262,54.16932568,0.047862157,0.574345884,8.051478409,2.425015954
'610990,MMF,8.908110144,15.35602173,3.688550219,4.792256908,13.36894947,1.830882383,1.634301716,14.72345983,6.921029569,1.890471918,0.676565474,1.029259136,11.67291793,14.88225888,3.070714082,6.911759237,17.46559738,2.206279361
'611030,MMF,17.62793104,30.16702449,2.085786012,4.739198998,9.081331435,0.403642496,2.259814251,22.853078,17.56990054,3.836672593,0.808107351,0.493487813,17.76381144,28.79017186,1.472924592,6.027924633,10.03845736,0.652356878
'611130,MMF,6.972539386,43.02620263,2.805758358,5.48022909,8.216112239,1.606214891,3.71894241,44.04954037,17.04569026,19.72191726,0.140521206,0.948992447,4.65468282,48.04426994,1.461218523,4.582883238,4.261402226,3.563458541
'611212,MMF,8.184795812,16.63476257,9.772028837,14.42542607,2.202804681,0.736831792,7.099004351,36.13298454,11.26311294,6.964204682,0.456450364,0.396391106,3.217183208,13.59501919,8.093817721,10.04712508,10.64663073,0.17641191
'611231,MMF,2.398711103,32.85447241,6.884856497,4.197589515,0.906565318,0.039451806,5.763166565,40.57749329,14.54322963,2.649785852,0.465948134,1.468442604,5.739058629,28.82992855,4.864826051,7.613183499,1.310451298,0.368003447
'611241,MMF,5.323179043,31.1542142,5.597768674,3.371054005,1.274639886,0.096287704,0.751061754,38.94103367,27.20837341,5.258064027,0.204053956,0.100194915,4.696545651,42.80947146,2.670835507,11.62236242,1.999517393,0.115701832
'611249,MMF,0.831316972,22.27445558,1.285862427,0.765641203,4.896301417,0.349118562,0.051004794,63.76619402,2.427828216,0.448842191,0.520248903,1.46893808,2.254709433,33.52971125,0.683686086,0.516401193,5.825878246,0.407302349
